sample,path,tree_entries_in_file,tree_events_used,matched_N,hist_mu_ns,hist_sigma_ns,delta_hist_entries,skipped_delta
LG,/u/user/rmsvlf000/Trigger/analysis/t_res/data/1by1Trigger_60.root,1000,1000,True,-0.0094687504621644,0.12199548573935998,1000,0
no_LG,/u/user/rmsvlf000/Trigger/analysis/t_res/data/NoLG_60GeV_e-_noLG_1.root,3000,1000,True,-0.018844123522130565,0.07613498272384396,1000,0
